stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,b_feedback.stopped,text_15.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,key_resp_6.stopped,trial_2.stopped,key_resp_6.keys,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.rt,key_resp_6.duration,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
triangle.png,stranger,1,M,,,,,1,2,6,1,,,,,,,,,,,,,100.95143330000428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.93547899999976,100.95143330000428,101.45188800000324,101.45188800000324,101.45188800000324,101.45188800000324,101.45188800000324,101.75184250000166,101.75184250000166,101.75184250000166,102.55211560000316,102.53598059999786,None,102.53611359999923,102.55211560000316,103.5365002000035,103.55260319999798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,you,1,M,,,,,1,3,7,0,,,,,,,,,,,,,103.55260319999798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.53673559999879,103.55260319999798,104.05327270000271,104.05327270000271,104.05327270000271,104.05327270000271,104.05327270000271,104.35321600000316,104.35321600000316,104.35321600000316,105.1534501999995,105.13738179999928,None,105.13751620000403,105.1534501999995,106.1377524999989,106.15419069999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,stranger,0,Z,,,,,2,0,8,2,,,,,,,,,,,,,106.15419069999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.13799470000231,106.15419069999916,106.65434860000096,106.65434860000096,106.65434860000096,106.65434860000096,106.65434860000096,106.95452120000118,106.95452120000118,106.95452120000118,107.75487969999813,107.73852949999855,None,107.73868190000212,107.75487969999813,108.73923859999923,108.75559069999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,you,0,Z,,,,,2,1,9,3,,,,,,,,,,,,,108.75559069999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.73947639999824,108.75559069999872,109.25591390000045,109.25591390000045,109.25591390000045,109.25591390000045,109.25591390000045,109.55583950000437,109.55583950000437,109.55583950000437,,110.25701220000337,m,110.25726389999909,110.27292329999909,111.25721770000382,111.27331180000328,0.9968588999981876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,you,1,M,,,,,2,2,10,0,,,,,,,,,,,,,111.27331180000328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25745399999869,111.27331180000328,111.75699970000278,111.75699970000278,111.75699970000278,111.75699970000278,111.77384760000132,112.05724790000386,112.05724790000386,112.05724790000386,,112.32487180000317,m,112.32511610000074,112.3406399000014,113.32486040000367,113.34123230000114,0.5586372000034316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,stranger,1,M,,,,,2,3,11,1,,,,,,,,,,,,,113.34123230000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.32509559999744,113.34123230000114,113.82509500000015,113.82509500000015,113.82509500000015,113.82509500000015,113.84147030000167,114.12475039999845,114.12475039999845,114.12475039999845,,114.37560420000227,z,114.37585660000332,114.39162650000071,115.37591470000189,115.3921141000028,0.5353064999944763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,stranger,1,M,,,,,3,0,12,1,,,,,,,,,,,,,115.3921141000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.37615570000344,115.3921141000028,115.87596360000316,115.87596360000316,115.87596360000316,115.87596360000316,115.89261560000159,116.17593270000361,116.17593270000361,116.17593270000361,,116.59355869999854,z,116.59381260000373,116.6093611000033,117.59377320000203,117.60991710000235,0.7090447999944445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,stranger,0,Z,,,,,3,1,13,2,,,,,,,,,,,,,117.60991710000235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.59400979999918,117.60991710000235,118.09366350000346,118.09366350000346,118.09366350000346,118.09366350000346,118.11018940000213,118.39379770000232,118.39379770000232,118.39379770000232,119.19380649999948,119.17759220000153,None,119.17773180000222,119.19380649999948,120.17820249999932,120.19456139999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,you,0,Z,,,,,3,2,14,3,,,,,,,,,,,,,120.19456139999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.17844039999909,120.19456139999966,120.6951715000032,120.6951715000032,120.6951715000032,120.6951715000032,120.6951715000032,120.9948463000037,120.9948463000037,120.9948463000037,,121.69581540000218,z,121.6960698000039,121.71176810000179,122.69622740000341,122.71241480000026,0.9964063000006718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,you,1,M,,,,,3,3,15,0,,,,,,,,,,,,,122.71241480000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.69646490000014,122.71241480000026,123.19633759999851,123.19633759999851,123.19633759999851,123.19633759999851,123.21289329999854,123.49618700000428,123.49618700000428,123.49618700000428,,123.94747780000034,m,123.94772199999716,123.96319360000052,124.94764620000205,124.96383780000178,0.7480329000027268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
