stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,practice1.stopped,key_resp_p.keys,key_resp_p.rt,key_resp_p.duration,p_feedback.started,text_15.started,text_15.stopped,p_feedback.stopped,key_resp_p.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.stopped,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,you,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,130.8574321000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.8411300000007,130.8574321000051,131.34108080000442,131.34108080000442,131.34108080000442,131.34108080000442,131.3575419000117,131.64102500000445,131.64102500000445,131.64102500000445,132.0755235000106,m,0.7297725999960676,None,132.0757663000113,132.09126359999937,133.09183340000163,133.07549630000722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
triangle.png,you,1,M,,,,,1,3,7,1,,,,,,,,,,,,,133.09183340000163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.07572400000936,133.09183340000163,133.5756015000079,133.5756015000079,133.5756015000079,133.5756015000079,133.59200350000174,133.87555290000455,133.87555290000455,133.87555290000455,134.02638720000687,z,0.43919659999664873,None,134.02663040001062,134.042202800003,135.0427805000072,135.02660270000342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
triangle.png,you,1,M,,,,,2,0,8,1,,,,,,,,,,,,,135.0427805000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0268262000027,135.0427805000072,135.52664340000774,135.52664340000774,135.52664340000774,135.52664340000774,135.5429945000069,135.82642720000877,135.82642720000877,135.82642720000877,136.1605586000078,z,0.6327214000048116,None,136.16080850000435,136.1765260000102,137.17732890001207,137.16085900001053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
square.png,you,0,Z,,,,,2,1,9,2,,,,,,,,,,,,,137.17732890001207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1610856000043,137.17732890001207,137.66095889999997,137.66095889999997,137.66095889999997,137.66095889999997,137.67758290001075,137.9611472000106,137.9611472000106,137.9611472000106,138.74488779999956,None,,,138.74501969999983,138.76116550000734,139.76187530001334,139.74558740000066,138.76116550000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
square.png,stranger,1,M,,,,,2,2,10,0,,,,,,,,,,,,,139.76187530001334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.74581800001033,139.76187530001334,140.2623583000095,140.2623583000095,140.2623583000095,140.2623583000095,140.2623583000095,140.5625216000044,140.5625216000044,140.5625216000044,141.16334500000812,z,0.8973659000039333,None,141.16358480000054,141.17928490000486,142.17964230000507,142.16348690001178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
triangle.png,stranger,0,Z,,,,,2,3,11,3,,,,,,,,,,,,,142.17964230000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.16371340000478,142.17964230000507,142.66345520000323,142.66345520000323,142.66345520000323,142.66345520000323,142.67996560000756,142.96349960000953,142.96349960000953,142.96349960000953,143.28120100000524,m,0.6041432000056375,None,143.2814395000023,143.29693140000745,144.29758020000008,144.28147400000307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
triangle.png,you,1,M,,,,,3,0,12,1,,,,,,,,,,,,,144.29758020000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.28170070001215,144.29758020000008,144.78108450000582,144.78108450000582,144.78108450000582,144.78108450000582,144.79755850000947,145.08118860000104,145.08118860000104,145.08118860000104,145.5654416000034,m,0.773688499990385,None,145.56568150001112,145.58158019999973,146.5819857000024,146.5658953000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
square.png,you,0,Z,,,,,3,1,13,2,,,,,,,,,,,,,146.5819857000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.56612050000695,146.5819857000024,147.06583210000827,147.06583210000827,147.06583210000827,147.06583210000827,147.0824156000017,147.36580330001016,147.36580330001016,147.36580330001016,147.7665044000023,z,0.6946333999949275,None,147.76674370000546,147.78252380000777,148.78322480000497,148.76685060000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
triangle.png,stranger,0,Z,,,,,3,2,14,3,,,,,,,,,,,,,148.78322480000497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.76707650000753,148.78322480000497,149.266915900007,149.266915900007,149.266915900007,149.266915900007,149.28340450000542,149.56697710001026,149.56697710001026,149.56697710001026,149.96783760000835,m,0.6932119999983115,None,149.96807900001295,149.9838427000068,150.98438920000626,150.96805140000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
square.png,stranger,1,M,,,,,3,3,15,0,,,,,,,,,,,,,150.98438920000626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9682778000133,150.98438920000626,151.46786460001022,151.46786460001022,151.46786460001022,151.46786460001022,151.48439330000838,151.76798590000544,151.76798590000544,151.76798590000544,152.55224090001138,None,,,152.55237160000252,152.56851380001171,153.56876639999973,153.55279490000976,152.56851380001171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_15,001,2024-11-30_14h41.40.932,untitled,2024.1.5,None,2024-11-30 14h41.53.679228 +0530,
