stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,you,1,M,,,,,1,2,6,0,,,,,,,,,,,,,108.54742360010277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.53167910000775,108.54742360010277,109.03142910008319,109.03142910008319,109.03142910008319,109.03142910008319,109.04808790003881,109.33114450005814,109.33114450005814,109.33114450005814,,109.43211320007686,m,109.43235970009118,109.44815150008071,110.44870910001919,110.43231870001182,0.38435239996761084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
square.png,stranger,0,Z,,,,,1,3,7,2,,,,,,,,,,,,,110.44870910001919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.43255040002987,110.44870910001919,110.9325766999973,110.9325766999973,110.9325766999973,110.9325766999973,110.9488400000846,111.23218070005532,111.23218070005532,111.23218070005532,,111.31631290004589,z,111.3165636000922,111.33229540009052,112.3329417000059,112.31682560010813,0.36752549989614636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
square.png,you,1,M,,,,,2,0,8,0,,,,,,,,,,,,,112.3329417000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.31705680000596,112.3329417000059,112.81668950000312,112.81668950000312,112.81668950000312,112.81668950000312,112.83315360010602,113.11664370005019,113.11664370005019,113.11664370005019,,113.18412069999613,m,113.18436720001046,113.20012430008501,114.20066299999598,114.18435190001037,0.3644489999860525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
triangle.png,stranger,1,M,,,,,2,1,9,1,,,,,,,,,,,,,114.20066299999598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.18458480003756,114.20066299999598,114.68430730002001,114.68430730002001,114.68430730002001,114.68430730002001,114.70085270004347,114.98423230007757,114.98423230007757,114.98423230007757,,115.21831930009648,z,115.21856840001419,115.23450020002201,116.23503460001666,116.21871530008502,0.5287492999341339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
triangle.png,you,0,Z,,,,,2,2,10,3,,,,,,,,,,,,,116.23503460001666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.21895320003387,116.23503460001666,116.71851530007552,116.71851530007552,116.71851530007552,116.71851530007552,116.73520039999858,117.01850250002462,117.01850250002462,117.01850250002462,,117.25298490002751,m,117.25323340005707,117.2688816000009,118.26933280006051,118.25312430004124,0.5304545999970287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
square.png,stranger,0,Z,,,,,2,3,11,2,,,,,,,,,,,,,118.26933280006051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.25335550005548,118.26933280006051,118.75326340005267,118.75326340005267,118.75326340005267,118.75326340005267,118.76996750000399,119.05298810009845,119.05298810009845,119.05298810009845,,119.12045210006181,m,119.12069990008604,119.13648190000094,120.13686379999854,120.12059000006411,0.3642132000532001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
triangle.png,stranger,1,M,,,,,3,0,12,1,,,,,,,,,,,,,120.13686379999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.12082250008825,120.13686379999854,120.62055480002891,120.62055480002891,120.62055480002891,120.62055480002891,120.63731220003683,120.9207467000233,120.9207467000233,120.9207467000233,,121.55508760001976,z,121.55533670005389,121.57092430000193,122.5715288000647,122.55538540007547,0.9279861999675632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
square.png,you,1,M,,,,,3,1,13,0,,,,,,,,,,,,,122.5715288000647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.55561720009428,122.5715288000647,123.05528240010608,123.05528240010608,123.05528240010608,123.05528240010608,123.07173480000347,123.35532270011026,123.35532270011026,123.35532270011026,,123.47254570003133,m,123.47280220000539,123.48846880008932,124.48924410005566,124.47295830002986,0.40614279999863356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
triangle.png,you,0,Z,,,,,3,2,14,3,,,,,,,,,,,,,124.48924410005566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.47319280006923,124.48924410005566,124.97291440004483,124.97291440004483,124.97291440004483,124.97291440004483,124.98934200010262,125.27269520005211,125.27269520005211,125.27269520005211,,125.52380060008727,m,125.52404889999889,125.53980010002851,126.54013490001671,126.52391560003161,0.5482020999770612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
square.png,stranger,0,Z,,,,,3,3,15,2,,,,,,,,,,,,,126.54013490001671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.52415540011134,126.54013490001671,127.02405570005067,127.02405570005067,127.02405570005067,127.02405570005067,127.04035970009863,127.32387250009924,127.32387250009924,127.32387250009924,,127.55821650009602,z,127.55846530001145,127.57398870005272,128.5746480000671,128.55839410005137,0.5198295000009239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_9,001,2024-11-29_10h58.02.542,untitled,2024.1.5,None,2024-11-29 10h58.21.470720 +0530,
