stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,text_15.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,stranger,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,116.52453850000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.50845729999855,116.52453850000165,117.00813699999708,117.00813699999708,117.00813699999708,117.00813699999708,117.02487889999611,117.30824929999653,117.30824929999653,117.30824929999653,,117.4923742999963,z,117.4926209999976,117.50823639999726,118.49245489999885,0.47809050000068964,None,118.50895650000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
square.png,you,1,M,,,,,1,3,7,0,,,,,,,,,,,,,118.50895650000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.49268579999625,118.50895650000166,118.99243009999918,118.99243009999918,118.99243009999918,118.99243009999918,119.00904649999575,119.29270589999942,119.29270589999942,119.29270589999942,,119.45992750000005,m,119.46017510000092,119.47609540000121,120.46041369999875,0.4584210000029998,None,120.47670159999689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
square.png,stranger,0,Z,,,,,2,0,8,2,,,,,,,,,,,,,120.47670159999689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.46067089999997,120.47670159999689,120.96025029999873,120.96025029999873,120.96025029999873,120.96025029999873,120.97679290000087,121.26014710000163,121.26014710000163,121.26014710000163,,121.37762549999752,m,121.37787219999882,121.39382929999556,122.37784609999653,0.40651839999918593,None,122.3942889999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
triangle.png,stranger,1,M,,,,,2,1,9,1,,,,,,,,,,,,,122.3942889999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.37807739999698,122.3942889999962,122.8779521999968,122.8779521999968,122.8779521999968,122.8779521999968,122.8946219999998,123.17766390000179,123.17766390000179,123.17766390000179,,123.41193070000008,z,123.41217830000096,123.4281675999955,124.41239449999557,0.5283397999955923,None,124.42850229999749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
square.png,you,1,M,,,,,2,2,10,0,,,,,,,,,,,,,124.42850229999749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.41262529999949,124.42850229999749,124.9122783999992,124.9122783999992,124.9122783999992,124.9122783999992,124.92895499999577,125.21238240000093,125.21238240000093,125.21238240000093,,125.42963040000177,m,125.42987819999689,125.44588629999635,126.42997920000198,0.5017244999980903,None,126.44615709999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
triangle.png,you,0,Z,,,,,2,3,11,3,,,,,,,,,,,,,126.44615709999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4302119999993,126.44615709999925,126.93005439999979,126.93005439999979,126.93005439999979,126.93005439999979,126.9465160999971,127.22984429999633,127.22984429999633,127.22984429999633,,127.7477293999982,z,127.74797519999993,127.76362489999883,128.7476983000015,0.804070900005172,None,128.76390759999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
square.png,you,1,M,,,,,3,0,12,0,,,,,,,,,,,,,128.76390759999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7479314000011,128.76390759999776,129.24794709999696,129.24794709999696,129.24794709999696,129.24794709999696,129.26450140000088,129.54785479999555,129.54785479999555,129.54785479999555,,129.9153879000005,m,129.9156409999996,129.93115709999984,130.91544689999864,0.6662353000065195,None,130.9319026000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
square.png,stranger,0,Z,,,,,3,1,13,2,,,,,,,,,,,,,130.9319026000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.91567999999825,130.9319026000012,131.41544989999966,131.41544989999966,131.41544989999966,131.41544989999966,131.43229910000082,131.71546410000155,131.71546410000155,131.71546410000155,,131.8331315999967,z,131.83337819999724,131.84894740000163,132.83344439999928,0.41548279999551596,None,132.8494006999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
triangle.png,stranger,1,M,,,,,3,2,14,1,,,,,,,,,,,,,132.8494006999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.83367510000244,132.8494006999972,133.33311169999797,133.33311169999797,133.33311169999797,133.33311169999797,133.3497342999981,133.6333225999988,133.6333225999988,133.6333225999988,,133.8005680999995,z,133.8008192999987,133.81658590000006,134.80102649999753,0.4653258999969694,None,134.81717570000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
triangle.png,you,0,Z,,,,,3,3,15,3,,,,,,,,,,,,,134.81717570000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.8012613999963,134.81717570000183,135.300831200002,135.300831200002,135.300831200002,135.300831200002,135.3176248000018,135.60085009999602,135.60085009999602,135.60085009999602,,135.7850735999964,z,135.7853307999976,135.801034899996,136.78514809999615,0.48221129999728873,None,136.8015510999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12,001,2024-11-30_09h33.25.664,untitled,2024.1.5,None,2024-11-30 09h33.42.254250 +0530,
