stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fication.stopped,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,text_15.stopped,p_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.stopped,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,key_resp_6_p.stopped,practice2.stopped,key_resp_6_p.keys,feedback_2_p.started,text_16.started,feedback_2_p.stopped,key_resp_6_p.rt,key_resp_6_p.duration,text_16.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,you,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,145.68719640001655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.6710882000625,145.68719640001655,146.1875665000407,146.1875665000407,146.1875665000407,146.1875665000407,146.1875665000407,146.4876923999982,146.4876923999982,146.4876923999982,,146.7717563000042,z,146.77209179999772,146.78773149999324,147.78813040000387,147.77202669996768,0.5703182999277487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,stranger,0,Z,,,,,1,3,7,3,,,,,,,,,,,,,147.78813040000387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.772265000036,147.78813040000387,148.28869219997432,148.27192880003713,148.27192880003713,148.27192880003713,148.27192880003713,148.5720513999695,148.5720513999695,148.5720513999695,,148.83947180001996,m,148.83972799999174,148.85544319998007,149.8560191000579,149.83966820000205,0.553998599993065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,you,1,M,,,,,2,0,8,1,,,,,,,,,,,,,149.8560191000579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.83990440005437,149.8560191000579,150.35641999996733,150.33980459999293,150.33980459999293,150.33980459999293,150.33980459999293,150.63983160001226,150.63983160001226,150.63983160001226,,150.92388230003417,z,150.9241359999869,150.93973600002937,151.94051330001093,151.92412950005382,0.581963500007987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,you,0,Z,,,,,2,1,9,2,,,,,,,,,,,,,151.94051330001093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9243601000635,151.94051330001093,152.44065540004522,152.42430149996653,152.42430149996653,152.42430149996653,152.42430149996653,152.7239791000029,152.7239791000029,152.7239791000029,,153.4583746000426,z,153.45862920000218,153.47447759995703,,154.4587933999719,1.0185505000408739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,stranger,0,Z,,,,,2,2,10,3,,,,,,,,,,,,,154.47490060003474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.45903719996568,154.47490060003474,154.9755024999613,154.9587486999808,154.9587486999808,154.9587486999808,154.9587486999808,155.2587199000409,155.2587199000409,155.2587199000409,,155.92638349998742,z,155.92663720005658,155.94237529998645,156.9430638999911,156.92679940001108,0.9662656000582501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,stranger,1,M,,,,,2,3,11,0,,,,,,,,,,,,,156.9430638999911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.92702820000704,156.9430638999911,157.44350779999513,157.42690479999874,157.42690479999874,157.42690479999874,157.42690479999874,157.7266043999698,157.7266043999698,157.7266043999698,158.52729240001645,158.51093760004733,None,158.51107000000775,158.52729240001645,159.5276383999735,159.511209600023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,you,0,Z,,,,,3,0,12,2,,,,,,,,,,,,,159.5276383999735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5114470999688,159.5276383999735,160.0279818000272,160.0279818000272,160.0279818000272,160.0279818000272,160.0279818000272,160.32815830002073,160.32815830002073,160.32815830002073,,160.94588580005802,z,160.94615820003673,160.96160469995812,161.96227320004255,161.9458622999955,0.9139474000548944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,you,1,M,,,,,3,1,13,1,,,,,,,,,,,,,161.96227320004255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.94609450001735,161.96227320004255,162.46252050006296,162.44595419999678,162.44595419999678,162.44595419999678,162.44595419999678,162.74596840003505,162.74596840003505,162.74596840003505,,163.4304646999808,m,163.43071530002635,163.4464817000553,164.44677389995195,164.4305967000546,0.9761403000447899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,stranger,0,Z,,,,,3,2,14,3,,,,,,,,,,,,,164.44677389995195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.43083229998592,164.44677389995195,164.94710750004742,164.9307954000542,164.9307954000542,164.9307954000542,164.9307954000542,165.2305588000454,165.2305588000454,165.2305588000454,,165.71495920000598,z,165.71521120006219,165.73066839994863,166.7313597999746,166.71515920001548,0.7708139999303967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,stranger,1,M,,,,,3,3,15,0,,,,,,,,,,,,,166.7313597999746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.71539729996584,166.7313597999746,167.231648499961,167.21527729998343,167.21527729998343,167.21527729998343,167.21527729998343,167.5152281000046,167.5152281000046,167.5152281000046,,168.1993912999751,m,168.1996388999978,168.21539579995442,169.21578610001598,169.19964740006253,0.9826911999844015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,stranger,1,M,,,,,4,0,16,0,,,,,,,,,,,,,169.21578610001598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.1998828999931,169.21578610001598,169.71652769995853,169.69973280001432,169.69973280001432,169.69973280001432,169.69973280001432,169.9995507999556,169.9995507999556,169.9995507999556,,170.43382060003933,m,170.43406909995247,170.45013110002037,171.45067579997703,171.4341191999847,0.7186801000498235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,stranger,0,Z,,,,,4,1,17,3,,,,,,,,,,,,,171.45067579997703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.4343502999982,171.45067579997703,171.9507147000404,171.93435870006215,171.93435870006215,171.93435870006215,171.93435870006215,172.23421709996182,172.23421709996182,172.23421709996182,,172.5851285000099,z,172.58538319997024,172.6012130000163,173.60146260005422,173.58535790001042,0.6470858999527991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,you,0,Z,,,,,4,2,18,2,,,,,,,,,,,,,173.60146260005422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.58559270005208,173.60146260005422,174.10177379997913,174.08518140006345,174.08518140006345,174.08518140006345,174.08518140006345,174.38539609999862,174.38539609999862,174.38539609999862,,175.10325699998066,z,175.1035053000087,175.11893710005097,176.11944469995797,176.10335400002077,1.0128146999049932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,you,1,M,,,,,4,3,19,1,,,,,,,,,,,,,176.11944469995797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.10358490003273,176.11944469995797,176.62005070003215,176.6033687000163,176.6033687000163,176.6033687000163,176.6033687000163,176.90326499997173,176.90326499997173,176.90326499997173,,177.5210391000146,m,177.52132329996675,177.53678109997418,178.53762379998807,178.52111219998915,0.906062199966982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.52116050000768,178.53762379998807,178.53762379998807,181.87343589996453,space,3.3311414000345394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
square.png,stranger,1,M,,,,,,,,,0,0,0,0,,,,,,,,,181.88908069999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.87847180000972,181.88908069999889,182.3729222000111,182.3729222000111,182.3729222000111,182.3729222000111,182.38955219998024,182.6728393000085,182.6728393000085,182.6728393000085,183.35708740004338,z,0.9731549000134692,None,183.35777490003966,183.37325429997873,184.3736951999599,184.3574819000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
triangle.png,you,1,M,,,,,,,,,0,1,1,1,,,,,,,,,184.3736951999599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.3578519000439,184.3736951999599,184.85729099996388,184.85729099996388,184.85729099996388,184.85729099996388,184.87398290005513,185.15727029996924,185.15727029996924,185.15727029996924,185.69188940001186,m,0.8329084999859333,None,185.69234419998247,185.70781509997323,186.70804419997148,186.69190279999748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_10,001,2024-11-29_12h03.17.919,untitled,2024.1.5,None,2024-11-29 12h03.33.311131 +0530,
