stimulus_2,label_2,is_match_2,shouldpress_2,key_resp_6.keys,key_resp_6.rt
diamond.png,desirable self,0,Z,z,0.6676743
diamond.png,desirable self,0,Z,z,0.8825125
circle.png,disgusting self,0,Z,z,0.6826553
diamond.png,disgusting self,1,M,m,0.6548757
circle.png,desirable self,1,M,m,0.6112348
diamond.png,desirable self,0,Z,z,0.6689204
circle.png,disgusting self,0,Z,z,0.7271347
diamond.png,disgusting self,1,M,m,0.6905829
circle.png,desirable self,1,M,m,0.7052068
circle.png,disgusting self,0,Z,z,0.679492
circle.png,desirable self,1,M,m,0.6983844
diamond.png,disgusting self,1,M,m,0.7607685
diamond.png,desirable self,0,Z,z,0.7529531
circle.png,disgusting self,0,Z,z,0.8938267
diamond.png,desirable self,0,Z,z,0.8689283
diamond.png,disgusting self,1,M,m,0.7679712
circle.png,desirable self,1,M,m,0.6711579
diamond.png,desirable self,0,Z,z,0.9982607
circle.png,desirable self,1,M,m,0.6618424
diamond.png,disgusting self,1,M,m,0.7973275
circle.png,disgusting self,0,Z,z,0.699776
circle.png,desirable self,1,M,m,0.9357237
diamond.png,desirable self,0,Z,z,0.7071547
diamond.png,disgusting self,1,M,m,0.7628122
circle.png,disgusting self,0,Z,z,0.8020897
diamond.png,desirable self,0,Z,m,0.7016999
diamond.png,disgusting self,1,M,m,0.6266992
circle.png,desirable self,1,M,m,0.5883636
circle.png,disgusting self,0,Z,z,0.7268868
diamond.png,desirable self,0,Z,m,0.6366356
circle.png,desirable self,1,M,m,0.6700504
circle.png,disgusting self,0,Z,None,
diamond.png,disgusting self,1,M,m,0.7991631
diamond.png,desirable self,0,Z,z,0.7216156
circle.png,desirable self,1,M,m,0.5554358
circle.png,disgusting self,0,Z,z,0.9442142
diamond.png,disgusting self,1,M,m,0.5137507
diamond.png,disgusting self,1,M,z,0.6426871
circle.png,disgusting self,0,Z,z,0.6965678
circle.png,desirable self,1,M,m,0.5790333
diamond.png,desirable self,0,Z,m,0.6301175
circle.png,disgusting self,0,Z,z,0.7969073
circle.png,desirable self,1,M,m,0.5945654
diamond.png,disgusting self,1,M,z,0.6652657
diamond.png,desirable self,0,Z,z,0.8187626
circle.png,disgusting self,0,Z,z,0.6353208
circle.png,desirable self,1,M,m,0.6160913
diamond.png,disgusting self,1,M,m,0.7824998
diamond.png,desirable self,0,Z,z,0.7706733
circle.png,desirable self,1,M,m,0.6053504
diamond.png,desirable self,0,Z,z,0.6954647
circle.png,disgusting self,0,Z,None,
diamond.png,disgusting self,1,M,m,0.6949186
circle.png,desirable self,1,M,m,0.7159569
circle.png,disgusting self,0,Z,m,0.6662781
diamond.png,desirable self,0,Z,z,0.8900621
diamond.png,disgusting self,1,M,m,0.7222215
circle.png,disgusting self,0,Z,m,0.5637706
diamond.png,desirable self,0,Z,z,0.9186101
circle.png,desirable self,1,M,m,0.7611151
diamond.png,disgusting self,1,M,m,0.6249846
diamond.png,disgusting self,1,M,m,0.4554167
circle.png,desirable self,1,M,z,0.5750367
circle.png,disgusting self,0,Z,z,0.7551904
diamond.png,desirable self,0,Z,z,0.9591565
circle.png,disgusting self,0,Z,z,1.0379776
circle.png,desirable self,1,M,m,0.6158305
diamond.png,disgusting self,1,M,z,0.7384637
diamond.png,desirable self,0,Z,z,0.713825
diamond.png,desirable self,0,Z,z,0.6367339
diamond.png,disgusting self,1,M,m,0.5185655
circle.png,desirable self,1,M,m,0.6104711
circle.png,disgusting self,0,Z,z,0.7727697
diamond.png,desirable self,0,Z,z,0.6260998
diamond.png,disgusting self,1,M,m,0.5151279
circle.png,desirable self,1,M,m,0.5258466
circle.png,disgusting self,0,Z,z,0.4709432
diamond.png,disgusting self,1,M,m,0.6023214
circle.png,disgusting self,0,Z,m,0.6157887
circle.png,desirable self,1,M,m,0.5710138
diamond.png,desirable self,0,Z,z,0.657387
diamond.png,disgusting self,1,M,m,0.6592902
circle.png,disgusting self,0,Z,z,0.6232573
diamond.png,desirable self,0,Z,m,0.9165553
circle.png,desirable self,1,M,m,0.5658293
circle.png,desirable self,1,M,m,0.573982
circle.png,disgusting self,0,Z,m,0.5945357
diamond.png,desirable self,0,Z,m,0.4681873
diamond.png,disgusting self,1,M,m,0.5733741
circle.png,desirable self,1,M,m,0.5361793
circle.png,disgusting self,0,Z,z,0.6123967
diamond.png,desirable self,0,Z,m,0.4188152
diamond.png,disgusting self,1,M,z,0.7486913
diamond.png,disgusting self,1,M,m,0.415979
circle.png,disgusting self,0,Z,m,0.5185745
circle.png,desirable self,1,M,m,0.5993051
diamond.png,desirable self,0,Z,m,0.6271563
diamond.png,disgusting self,1,M,m,0.6247035
diamond.png,desirable self,0,Z,m,0.6379687
circle.png,desirable self,1,M,m,0.6157582
circle.png,disgusting self,0,Z,None,
circle.png,disgusting self,0,Z,None,
diamond.png,disgusting self,1,M,m,0.8256561
circle.png,desirable self,1,M,m,0.4767813
diamond.png,desirable self,0,Z,z,0.5994956
