stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,b1.stopped,key_resp_p.keys,key_resp_p.rt,key_resp_p.duration,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,key_resp_6.stopped,trial_2.stopped,key_resp_6.keys,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.rt,key_resp_6.duration,Thank_you.started,text_7.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,stranger,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,25.233228800003417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.217011000029743,25.233228800003417,25.716859100037254,25.716859100037254,25.716859100037254,25.716859100037254,25.733655800111592,26.016892100102268,26.016892100102268,26.016892100102268,26.50135970010888,z,0.776903000078164,None,26.50160450011026,26.51726770005189,27.51805820001755,27.501511300099082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
triangle.png,stranger,1,M,,,,,1,3,7,1,,,,,,,,,,,,,27.51805820001755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.501739200088196,27.51805820001755,28.001334300031886,28.001334300031886,28.001334300031886,28.001334300031886,28.01808650000021,28.301471200073138,28.301471200073138,28.301471200073138,28.93587720009964,z,0.9310387000441551,None,28.936122000101022,28.95188910001889,29.952384900068864,29.936011100071482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
triangle.png,stranger,1,M,,,,,2,0,8,1,,,,,,,,,,,,,29.952384900068864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.936243600095622,29.952384900068864,30.436349700088613,30.436349700088613,30.436349700088613,30.436349700088613,30.452928700018674,30.736172300064936,30.736172300064936,30.736172300064936,31.220368400099687,m,0.7734907999401912,None,31.220616700011306,31.236061300034635,32.236724300077185,32.22055420000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
square.png,stranger,0,Z,,,,,2,1,9,2,,,,,,,,,,,,,32.236724300077185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22078990004957,32.236724300077185,32.72043610003311,32.72043610003311,32.72043610003311,32.72043610003311,32.73714430001564,33.02043490007054,33.02043490007054,33.02043490007054,33.48824630002491,z,0.7650240000803024,None,33.48856530000921,33.50446240010206,34.504673700081185,34.48846950009465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
triangle.png,you,0,Z,,,,,2,2,10,3,,,,,,,,,,,,,34.504673700081185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.488696700078435,34.504673700081185,34.98829370003659,34.98829370003659,34.98829370003659,34.98829370003659,35.005314200068824,35.28827890008688,35.28827890008688,35.28827890008688,35.72273740009405,z,0.7239349000155926,None,35.72298140008934,35.73871590010822,36.73920030007139,36.72279160004109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
square.png,you,1,M,,,,,2,3,11,0,,,,,,,,,,,,,36.73920030007139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.72302270005457,36.73920030007139,37.22278609999921,37.22278609999921,37.22278609999921,37.22278609999921,37.23953970009461,37.5227982000215,37.5227982000215,37.5227982000215,38.20726130006369,m,0.9826489000115544,None,38.20750870008487,38.22308210004121,39.223773100064136,39.20737990003545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
square.png,stranger,0,Z,,,,,3,0,12,2,,,,,,,,,,,,,39.223773100064136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.20761130005121,39.223773100064136,39.707364900037646,39.707364900037646,39.707364900037646,39.707364900037646,39.72410069999751,40.007641500094905,40.007641500094905,40.007641500094905,40.64179020002484,m,0.9186341000022367,None,40.64203460002318,40.65784070000518,41.65843410009984,41.64202850009315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
triangle.png,you,0,Z,,,,,3,1,13,3,,,,,,,,,,,,,41.65843410009984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.64226500003133,41.65843410009984,42.14221250009723,42.14221250009723,42.14221250009723,42.14221250009723,42.15864850010257,42.442156100063585,42.442156100063585,42.442156100063585,42.92647290008608,z,0.7829565999563783,None,42.92671650007833,42.94223080005031,43.94278720009606,43.92675110010896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
square.png,you,1,M,,,,,3,2,14,0,,,,,,,,,,,,,43.94278720009606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.926979900104925,43.94278720009606,44.42657000001054,44.42657000001054,44.42657000001054,44.42657000001054,44.4431312000379,44.726702000014484,44.726702000014484,44.726702000014484,45.17752470006235,m,0.7457663998939097,None,45.17776650004089,45.193553200108,46.19397220003884,46.17770590004511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
triangle.png,stranger,1,M,,,,,3,3,15,1,,,,,,,,,,,,,46.19397220003884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1779336000327,46.19397220003884,46.677667100098915,46.677667100098915,46.677667100098915,46.677667100098915,46.694409100105986,46.97785110003315,46.97785110003315,46.97785110003315,47.67874830006622,z,0.9995720000006258,None,47.6789931000676,47.69468940002844,48.69537530001253,48.67893370008096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_8,001,2024-11-29_09h56.10.133,untitled,2024.1.5,None,2024-11-29 09h56.33.867954 +0530,
