stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fication.stopped,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,text_15.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,you,1,M,,,,,1,2,6,0,,,,,,,,,,,,,82.54836149999755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53237269999227,82.54836149999755,83.04885419999482,83.03218619999825,83.03218619999825,83.03218619999825,83.03218619999825,83.33204129998921,83.33204129998921,83.33204129998921,,83.44989069999428,m,83.45015669999702,83.46557319999556,84.45004480000352,0.40355190000263974,None,84.4659290999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
square.png,stranger,0,Z,,,,,1,3,7,2,,,,,,,,,,,,,84.4659290999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4504059000028,84.4659290999989,84.96656619998976,84.95016799999576,84.95016799999576,84.95016799999576,84.95016799999576,85.24956899999233,85.24956899999233,85.24956899999233,,85.38414709999051,z,85.38439289999951,85.40003910000087,86.3843160999968,0.42905180000525434,None,86.40037209998991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
square.png,you,1,M,,,,,2,0,8,0,,,,,,,,,,,,,86.40037209998991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38454569999885,86.40037209998991,86.90083389999927,86.88414219999686,86.88414219999686,86.88414219999686,86.88414219999686,87.18422290000308,87.18422290000308,87.18422290000308,,87.45157399999152,z,87.45181440000306,87.46765589999268,88.45190410000214,0.5618136999983108,None,88.46816129999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
square.png,stranger,0,Z,,,,,2,1,9,2,,,,,,,,,,,,,88.46816129999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.45214349999151,88.46816129999934,88.96852339999168,88.95170279999729,88.95170279999729,88.95170279999729,88.95170279999729,89.25199579999025,89.25199579999025,89.25199579999025,90.05245149999973,90.03585749999911,None,90.03599370000302,90.05245149999973,91.03635729999223,,,91.05256959999679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,stranger,1,M,,,,,2,2,10,1,,,,,,,,,,,,,91.05256959999679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.03658929999801,91.05256959999679,91.55304709999473,91.55304709999473,91.55304709999473,91.55304709999473,91.55304709999473,91.85297480000008,91.85297480000008,91.85297480000008,92.65348009999434,92.63743339999928,None,92.63756909999938,92.65348009999434,93.63771919999272,,,93.65410159999738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,you,0,Z,,,,,2,3,11,3,,,,,,,,,,,,,93.65410159999738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63794829999097,93.65410159999738,94.15437309999834,94.15437309999834,94.15437309999834,94.15437309999834,94.15437309999834,94.45437209999363,94.45437209999363,94.45437209999363,,94.4885479999939,m,94.48879950000264,94.50451889999385,95.48874610000348,0.3328622999979416,None,95.50520200000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,you,0,Z,,,,,3,0,12,3,,,,,,,,,,,,,95.50520200000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.48897859999852,95.50520200000028,96.00546800000302,95.98883429999114,95.98883429999114,95.98883429999114,95.98883429999114,96.28880460000073,96.28880460000073,96.28880460000073,,96.98990919999778,z,96.99015269998927,97.00588519999292,97.9900731999951,0.9944852000044193,None,98.00620679999702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,stranger,1,M,,,,,3,1,13,1,,,,,,,,,,,,,98.00620679999702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.99030700000003,98.00620679999702,98.50674169999547,98.49015070000314,98.49015070000314,98.49015070000314,98.49015070000314,98.78998899999715,98.78998899999715,98.78998899999715,,99.05772509999224,z,99.05797549999261,99.07359359999828,100.05775039999571,0.561036500002956,None,100.07422270000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
square.png,stranger,0,Z,,,,,3,2,14,2,,,,,,,,,,,,,100.07422270000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.05797880000318,100.07422270000097,100.574309299991,100.5577784999914,100.5577784999914,100.5577784999914,100.5577784999914,100.85787759999221,100.85787759999221,100.85787759999221,101.65832599998976,101.64205539999239,None,101.64228709999588,101.65832599998976,102.64247399999294,,,102.6585827999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
square.png,you,1,M,,,,,3,3,15,0,,,,,,,,,,,,,102.6585827999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.64270369999576,102.6585827999952,103.15895519999322,103.15895519999322,103.15895519999322,103.15895519999322,103.15895519999322,103.45916630000283,103.45916630000283,103.45916630000283,,103.99341209999693,m,103.99365979999129,104.00922799999535,104.99377020000247,0.8200674999970943,None,105.0100553999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,stranger,1,M,,,,,4,0,16,1,,,,,,,,,,,,,105.0100553999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.99400340000284,105.0100553999946,105.51023259999056,105.49366069999814,105.49366069999814,105.49366069999814,105.49366069999814,105.79356350000307,105.79356350000307,105.79356350000307,,105.97786400000041,m,105.97810949999257,105.99369099999603,106.9779841999989,0.4722875000006752,None,106.99414149999211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
triangle.png,you,0,Z,,,,,4,1,17,3,,,,,,,,,,,,,106.99414149999211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.97821099999419,106.99414149999211,107.49451740000222,107.47779920000175,107.47779920000175,107.47779920000175,107.47779920000175,,,,,107.72868960000051,m,107.72893450000265,107.74470809999912,108.72889990000112,0.2401013999915449,None,108.74503199999162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_15,001,2024-11-30_16h00.54.229,untitled,2024.1.5,None,2024-11-30 16h01.07.559330 +0530,
