stimulus_2,label_2,is_match_2,shouldpress_2,key_resp_6.rt,key_resp_6.keys
diamond.png,disgusting self,1,M,,None
circle.png,desirable self,1,M,0.7260817,m
circle.png,disgusting self,0,Z,0.6967624,z
diamond.png,disgusting self,1,M,0.8024199,m
diamond.png,desirable self,0,Z,0.825936,z
circle.png,desirable self,1,M,0.511047,m
circle.png,desirable self,1,M,0.7713805,m
diamond.png,desirable self,0,Z,0.76287,z
diamond.png,disgusting self,1,M,0.7915119,z
circle.png,disgusting self,0,Z,0.6747302,m
circle.png,disgusting self,0,Z,1.0431589,z
diamond.png,disgusting self,1,M,0.707467,m
circle.png,desirable self,1,M,0.6778426,m
diamond.png,desirable self,0,Z,0.5452041,z
diamond.png,desirable self,0,Z,0.7192336,m
circle.png,desirable self,1,M,0.6183771,m
circle.png,disgusting self,0,Z,0.9685745,z
diamond.png,disgusting self,1,M,0.8356236,m
diamond.png,disgusting self,1,M,,None
circle.png,disgusting self,0,Z,0.7242926,z
diamond.png,desirable self,0,Z,0.7260274,m
circle.png,desirable self,1,M,0.5746923,m
circle.png,desirable self,1,M,0.6186278,m
circle.png,disgusting self,0,Z,0.7240963,z
diamond.png,disgusting self,1,M,0.6615047,m
diamond.png,desirable self,0,Z,0.6547261,z
diamond.png,disgusting self,1,M,0.8451326,z
circle.png,desirable self,1,M,0.5789541,m
circle.png,disgusting self,0,Z,0.5986135,z
diamond.png,desirable self,0,Z,1.0364995,m
circle.png,disgusting self,0,Z,0.7267818,z
diamond.png,disgusting self,1,M,0.7869167,m
circle.png,desirable self,1,M,0.5660462,m
diamond.png,desirable self,0,Z,0.7015576,m
diamond.png,desirable self,0,Z,0.8720593,m
diamond.png,disgusting self,1,M,0.5954763,z
circle.png,disgusting self,0,Z,0.5800171,z
circle.png,desirable self,1,M,0.610429,m
diamond.png,desirable self,0,Z,0.8129815,z
circle.png,disgusting self,0,Z,0.8915631,z
circle.png,desirable self,1,M,0.5784251,m
diamond.png,disgusting self,1,M,0.7495968,m
circle.png,desirable self,1,M,0.9215171,m
diamond.png,disgusting self,1,M,0.7691611,m
circle.png,disgusting self,0,Z,0.6828292,z
diamond.png,desirable self,0,Z,0.9628877,z
circle.png,disgusting self,0,Z,0.6798366,z
diamond.png,desirable self,0,Z,0.7067249,m
diamond.png,disgusting self,1,M,1.0571779,m
circle.png,desirable self,1,M,0.6927528,m
circle.png,desirable self,1,M,0.5989221,m
diamond.png,desirable self,0,Z,0.6466895,z
diamond.png,disgusting self,1,M,0.6831455,z
circle.png,disgusting self,0,Z,,None
circle.png,desirable self,1,M,0.5089233,m
circle.png,disgusting self,0,Z,0.6638614,z
