stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,p_feedback.stopped,text_15.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.stopped,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,you,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,115.57978779997211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56361870002002,115.57978779997211,116.06345989997499,116.06345989997499,116.06345989997499,116.06345989997499,116.08012479997706,116.36347450001631,116.36347450001631,116.36347450001631,,116.4307104999898,m,116.43096120003611,116.44666649994906,117.43110139993951,117.44753180001862,0.3535570000531152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
triangle.png,stranger,0,Z,,,,,1,3,7,3,,,,,,,,,,,,,117.44753180001862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.43133579997811,117.44753180001862,117.93109970004298,117.93109970004298,117.93109970004298,117.93109970004298,117.94782600004692,118.23090960003901,118.23090960003901,118.23090960003901,,118.38185330003034,z,118.38210159994196,118.39790850004647,119.38210399996024,119.39847849996295,0.4452463999623433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
square.png,stranger,1,M,,,,,2,0,8,0,,,,,,,,,,,,,119.39847849996295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3823398000095,119.39847849996295,119.88187130005099,119.88187130005099,119.88187130005099,119.88187130005099,119.89886680000927,,,,,120.13296179997269,m,120.13320749998093,120.14863129996229,121.13294849998783,121.14936349994969,0.24365690001286566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
triangle.png,you,1,M,,,,,2,1,9,1,,,,,,,,,,,,,121.14936349994969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.13318390003406,121.14936349994969,121.63295230001677,121.63295230001677,121.63295230001677,121.63295230001677,121.64954969997052,121.93304899998475,121.93304899998475,121.93304899998475,,121.98385429999325,z,121.98410060000606,121.999558600015,122.98392020002939,123.00013359996956,0.34368239995092154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
square.png,you,0,Z,,,,,2,2,10,2,,,,,,,,,,,,,123.00013359996956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9841547999531,123.00013359996956,123.48393959994428,123.48393959994428,123.48393959994428,123.48393959994428,123.50072989996988,123.784066000022,123.784066000022,123.784066000022,,123.76807999995071,m,123.76832359994296,123.784066000022,124.7682947999565,124.78447569999844,0.27365939994342625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
triangle.png,stranger,0,Z,,,,,2,3,11,3,,,,,,,,,,,,,124.78447569999844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.76853959995788,124.78447569999844,125.26807270001154,125.26807270001154,125.26807270001154,125.26807270001154,125.28494010004215,125.56829089997336,125.56829089997336,125.56829089997336,,125.60236130002886,m,125.60260800004471,125.61833399999887,126.60251240001526,126.61867740005255,0.3331359999720007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
triangle.png,you,1,M,,,,,3,0,12,1,,,,,,,,,,,,,126.61867740005255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.60274470003787,126.61867740005255,127.10244409996085,127.10244409996085,127.10244409996085,127.10244409996085,127.1191189000383,,,,,127.30327569996007,m,127.30352179997135,127.31917449994944,128.3034084000392,128.3197916999925,0.19501070003025234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
square.png,stranger,1,M,,,,,3,1,13,0,,,,,,,,,,,,,128.3197916999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.30364309996367,128.3197916999925,128.80331939994358,128.80331939994358,128.80331939994358,128.80331939994358,128.81995120004285,,,,,128.95396389998496,z,128.95421210001223,128.97013869998045,129.95411679998506,129.97026530001312,0.13392229995224625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
triangle.png,stranger,0,Z,,,,,3,2,14,3,,,,,,,,,,,,,129.97026530001312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.9543537000427,129.97026530001312,130.45400449994486,130.45400449994486,130.45400449994486,130.45400449994486,130.4707372999983,,,,,130.53823099995498,m,130.53848119999748,130.55410710000433,131.53817209997214,131.55465399997775,0.07029099995270371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
square.png,you,0,Z,,,,,3,3,15,2,,,,,,,,,,,,,131.55465399997775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.53840800002217,131.55465399997775,132.03822230000515,132.03822230000515,132.03822230000515,132.03822230000515,132.05497139994986,,,,,132.1054768000031,m,132.1057307999581,132.12147599994205,133.10574779997114,133.12208939995617,0.05141610000282526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_9,001,2024-11-29_10h27.28.431,untitled,2024.1.5,None,2024-11-29 10h27.46.664573 +0530,
