stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,key_resp_6_p.stopped,practice2.stopped,key_resp_6_p.keys,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.rt,key_resp_6_p.duration,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,key_resp_6.stopped,trial_2.stopped,key_resp_6.keys,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.rt,key_resp_6.duration,Thank_you.started,text_7.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
triangle.png,stranger,1,M,,,,,1,2,6,1,,,,,,,,,,,,,137.27891220001038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.262793000089,137.27891220001038,137.76226510002743,137.76226510002743,137.76226510002743,137.76226510002743,137.77897680003662,138.0624320000643,138.0624320000643,138.0624320000643,,138.1630972001003,m,138.1633474000264,138.1791848000139,139.17946440004744,139.16335990000516,0.39958710002247244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
square.png,you,1,M,,,,,1,3,7,0,,,,,,,,,,,,,139.17946440004744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.16359280003235,139.17946440004744,139.66324800008442,139.66324800008442,139.66324800008442,139.66324800008442,139.68009250005707,139.96337840007618,139.96337840007618,139.96337840007618,,140.33113370009232,z,140.33138360001612,140.34676660003606,141.3474384000292,141.3313151000766,0.6581484999042004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
triangle.png,stranger,1,M,,,,,2,0,8,1,,,,,,,,,,,,,141.3474384000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.33154809998814,141.3474384000292,141.8310433999868,141.8310433999868,141.8310433999868,141.8310433999868,141.8476629999932,142.1310136000393,142.1310136000393,142.1310136000393,,142.6653445000993,m,142.6655996000627,142.68150390009396,143.68183920008596,143.6656943000853,0.818608499947004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
triangle.png,you,0,Z,,,,,2,1,9,3,,,,,,,,,,,,,143.68183920008596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.66593070002273,143.68183920008596,144.16581270005554,144.16581270005554,144.16581270005554,144.16581270005554,144.18224670004565,144.46551190002356,144.46551190002356,144.46551190002356,,144.8502399000572,z,144.85049219999928,144.86582800000906,145.86660890001804,145.85014750005212,0.6832274999469519,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
square.png,stranger,0,Z,,,,,2,2,10,2,,,,,,,,,,,,,145.86660890001804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.8503796000732,145.86660890001804,146.349971299991,146.349971299991,146.349971299991,146.349971299991,146.36666290007997,146.65042690001428,146.65042690001428,146.65042690001428,,146.6511922000209,m,146.65145110001322,146.6669690000126,147.66738700005226,147.65118550008629,0.2992167000193149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
square.png,you,1,M,,,,,2,3,11,0,,,,,,,,,,,,,147.66738700005226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.65142080001533,147.66738700005226,148.1509769000113,148.1509769000113,148.1509769000113,148.1509769000113,148.16770400002133,148.45105560007505,148.45105560007505,148.45105560007505,,148.5353878000751,z,148.53563599998597,148.55110819998663,149.5516850000713,149.53550170001108,0.3791992000769824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
square.png,you,1,M,,,,,3,0,12,0,,,,,,,,,,,,,149.5516850000713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.5357358000474,149.5516850000713,150.03522810002323,150.03522810002323,150.03522810002323,150.03522810002323,150.05205230007414,150.33533530007116,150.33533530007116,150.33533530007116,151.13566560007166,151.11969050008338,None,151.1198211000301,151.13566560007166,152.13635869999416,152.1200687000528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
triangle.png,you,0,Z,,,,,3,1,13,3,,,,,,,,,,,,,152.13635869999416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.1203036000952,152.13635869999416,152.63673270004801,152.63673270004801,152.63673270004801,152.63673270004801,152.63673270004801,152.93693680001888,152.93693680001888,152.93693680001888,,153.20446899998933,m,153.2047154000029,153.22003710002173,154.22077230003197,154.20454810000956,0.5649068999337032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
square.png,stranger,0,Z,,,,,3,2,14,2,,,,,,,,,,,,,154.22077230003197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.20478020003065,154.22077230003197,154.70450770005118,154.70450770005118,154.70450770005118,154.70450770005118,154.72093459998723,155.00433510006405,155.00433510006405,155.00433510006405,,155.13852320006117,z,155.13877770002,155.1545056999894,156.15520130004734,156.1387671000557,0.4181409999728203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
triangle.png,stranger,1,M,,,,,3,3,15,1,,,,,,,,,,,,,156.15520130004734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1390000000829,156.15520130004734,156.63882720004767,156.63882720004767,156.63882720004767,156.63882720004767,156.65543460007757,156.93866290000733,156.93866290000733,156.93866290000733,,157.03942759998608,m,157.03967450000346,157.05563850002363,158.0559390000999,158.03957940009423,0.3910345999756828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11,001,2024-11-29_16h48.57.479,untitled,2024.1.5,None,2024-11-29 16h49.13.193329 +0530,
