stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,p_feedback.stopped,text_15.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.stopped,break_3.started,text_13.started,text_13.stopped,text_14.started,key_resp_10.started,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
triangle.png,stranger,0,Z,,,,,1,2,6,3,,,,,,,,,,,,,111.76255200000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.74641950009391,111.76255200000014,112.24616330000572,112.24616330000572,112.24616330000572,112.24616330000572,112.26268310006708,112.5461286000209,112.5461286000209,112.5461286000209,113.34672370005865,113.33032710000407,None,113.33045980008319,113.34672370005865,114.33076919999439,114.34702190000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
triangle.png,you,1,M,,,,,1,3,7,1,,,,,,,,,,,,,114.34702190000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.33100770006422,114.34702190000098,114.84733420005068,114.84733420005068,114.84733420005068,114.84733420005068,114.84733420005068,115.14755560003687,115.14755560003687,115.14755560003687,,115.28097790002357,m,115.28122110001277,115.2971793001052,116.28151290002279,,0.42243080004118383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
square.png,you,0,Z,,,,,2,0,8,2,,,,,,,,,,,,,116.29810610006098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.28175900003407,116.29810610006098,116.78179480007384,116.78179480007384,116.78179480007384,116.78179480007384,116.79831310000736,117.08162160008214,117.08162160008214,117.08162160008214,,117.16596270003356,z,117.16620850004256,117.1820008000359,118.16617560002487,118.18234630010556,0.3809854999417439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
square.png,stranger,1,M,,,,,2,1,9,0,,,,,,,,,,,,,118.18234630010556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.16640460002236,118.18234630010556,118.66602680005599,118.66602680005599,118.66602680005599,118.66602680005599,118.68280770001002,118.96621990005951,118.96621990005951,118.96621990005951,,119.11673870007508,m,119.11698809999507,119.13283170002978,120.1172056000214,120.13350380002521,0.43616990000009537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
triangle.png,you,1,M,,,,,2,2,10,1,,,,,,,,,,,,,120.13350380002521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1174434000859,120.13350380002521,120.61723170010373,120.61723170010373,120.61723170010373,120.61723170010373,120.63380330009386,120.91689800005406,120.91689800005406,120.91689800005406,,121.05127270007506,z,121.05152070010081,121.0671589000849,122.05156050005462,122.06788330001291,0.42153159994632006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
triangle.png,stranger,0,Z,,,,,2,3,11,3,,,,,,,,,,,,,122.06788330001291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.05179640010465,122.06788330001291,122.55153130006511,122.55153130006511,122.55153130006511,122.55153130006511,122.56827430007979,122.85144520003814,122.85144520003814,122.85144520003814,123.65173330006655,123.635703500011,None,123.63583360007033,123.65173330006655,124.63612300006207,124.65252420003526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
triangle.png,stranger,0,Z,,,,,3,0,12,3,,,,,,,,,,,,,124.65252420003526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.63635530008469,124.65252420003526,125.1528933000518,125.1528933000518,125.1528933000518,125.1528933000518,125.1528933000518,125.45283429999836,125.45283429999836,125.45283429999836,126.25318100000732,126.23683639999945,None,126.23696780006867,126.25318100000732,127.23761330009438,127.25356990005821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
triangle.png,you,1,M,,,,,3,1,13,1,,,,,,,,,,,,,127.25356990005821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.23784390010405,127.25356990005821,127.75396920007188,127.75396920007188,127.75396920007188,127.75396920007188,127.75396920007188,128.05400540004484,128.05400540004484,128.05400540004484,,128.2216128000291,z,128.2218602000503,128.2375938000623,129.22183370008133,129.23810960003175,0.46474949992261827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
square.png,stranger,1,M,,,,,3,2,14,0,,,,,,,,,,,,,129.23810960003175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.22206770000048,129.23810960003175,129.7218573000282,129.7218573000282,129.7218573000282,129.7218573000282,129.73819010006264,130.0216502000112,130.0216502000112,130.0216502000112,,130.0893597000977,m,130.08960490010213,130.10519200004637,131.08930780005176,131.10578100010753,0.35684190003667027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
square.png,you,0,Z,,,,,3,3,15,2,,,,,,,,,,,,,131.10578100010753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.089539000066,131.10578100010753,131.58925399999134,131.58925399999134,131.58925399999134,131.58925399999134,131.6060315000359,131.88951710006222,131.88951710006222,131.88951710006222,,132.04041710007004,m,132.0406638000859,132.05597670003772,133.0405825000489,133.05678430001717,0.44880089990329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_8,001,2024-11-28_16h17.01.820,untitled,2024.1.5,None,2024-11-28 16h17.13.192701 +0530,
