stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,p_feedback.stopped,key_resp_p.rt,key_resp_p.duration,text_15.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,key_resp.stopped,trial.stopped,key_resp.keys,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.rt,key_resp.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
triangle.png,you,1,M,,,,,1,2,6,1,,,,,,,,,,,,,129.64318040000217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.62723339999502,129.64318040000217,130.12698639999144,130.12698639999144,130.12698639999144,130.12698639999144,130.14352509999298,130.42680780000228,130.42680780000228,130.42680780000228,131.22724229999585,131.2111836999975,None,131.21131470000546,131.22724229999585,132.211550299995,,,132.22802710000542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
triangle.png,stranger,0,Z,,,,,1,3,7,3,,,,,,,,,,,,,132.22802710000542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.21177969999553,132.22802710000542,132.7282520000008,132.7282520000008,132.7282520000008,132.7282520000008,132.7282520000008,133.02819630000158,133.02819630000158,133.02819630000158,,133.21251660000416,z,133.21275959999184,133.22846869999194,134.21257609999157,0.4698134000063874,None,134.22890600000392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
triangle.png,stranger,0,Z,,,,,2,0,8,3,,,,,,,,,,,,,134.22890600000392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2128134999948,134.22890600000392,134.71242840000195,134.71242840000195,134.71242840000195,134.71242840000195,134.72912809999252,135.01261710000108,135.01261710000108,135.01261710000108,,135.28020569999353,z,135.28045069999644,135.29600709999795,136.28026719999616,0.5517326000117464,None,136.2966124999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
square.png,stranger,1,M,,,,,2,1,9,0,,,,,,,,,,,,,136.2966124999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.2804940999922,136.2966124999948,136.78020259999903,136.78020259999903,136.78020259999903,136.78020259999903,136.79712669999572,137.08023639999737,137.08023639999737,137.08023639999737,137.8807369999995,137.86452370000188,None,137.86465580000367,137.8807369999995,138.86479350000445,,,138.88104189999285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
triangle.png,you,1,M,,,,,2,2,10,1,,,,,,,,,,,,,138.88104189999285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.86502800000017,138.88104189999285,139.38148949999595,139.38148949999595,139.38148949999595,139.38148949999595,139.38148949999595,139.68139969999902,139.68139969999902,139.68139969999902,140.48212739999872,140.46563959999185,None,140.46577100000286,140.48212739999872,141.46635010000318,,,141.48250440000265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
square.png,you,0,Z,,,,,2,3,11,2,,,,,,,,,,,,,141.48250440000265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.46657740000228,141.48250440000265,141.98282540000218,141.98282540000218,141.98282540000218,141.98282540000218,141.98282540000218,142.2829258999991,142.2829258999991,142.2829258999991,,142.3501982000016,m,142.35044280000147,142.36636820000422,143.35065259999828,0.3552022000076249,None,143.36678029999894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
triangle.png,stranger,0,Z,,,,,3,0,12,3,,,,,,,,,,,,,143.36678029999894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.35088600000017,143.36678029999894,143.85038590000477,143.85038590000477,143.85038590000477,143.85038590000477,143.86705559999973,144.15057260000322,144.15057260000322,144.15057260000322,,144.31801519999863,z,144.3182603000023,144.33392710000044,145.31843289999233,0.45691040001111105,None,145.33460750000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
square.png,you,0,Z,,,,,3,1,13,2,,,,,,,,,,,,,145.33460750000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.31866839999566,145.33460750000086,145.81823979999172,145.81823979999172,145.81823979999172,145.81823979999172,145.8347017000051,146.11826059999294,146.11826059999294,146.11826059999294,,146.28588769999624,z,146.2861309,146.3017749999999,147.28605169999355,0.4648947999958182,None,147.30222719999438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
square.png,stranger,1,M,,,,,3,2,14,0,,,,,,,,,,,,,147.30222719999438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.28631339999265,147.30222719999438,147.78598839999177,147.78598839999177,147.78598839999177,147.78598839999177,147.80241289999685,148.0857643000054,148.0857643000054,148.0857643000054,,148.20320459999493,z,148.20349590000114,148.21939519999432,149.2035104999959,0.4096276000054786,None,149.2196399999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
triangle.png,you,1,M,,,,,3,3,15,1,,,,,,,,,,,,,149.2196399999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2037391000049,149.2196399999957,149.70358570000099,149.70358570000099,149.70358570000099,149.70358570000099,149.7199907000031,150.00349319999805,150.00349319999805,150.00349319999805,150.8039093999978,150.78785359999165,None,150.78798639999877,150.8039093999978,151.7881109000009,,,151.80456960000447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_16,001,2024-11-30_16h42.46.675,untitled,2024.1.5,None,2024-11-30 16h42.59.171705 +0530,
