stimulus_2,label_2,is_match_2,shouldpress_2,key_resp_6.keys,key_resp_6.rt
circle.png,desirable self,1,M,m,0.5917094
circle.png,disgusting self,0,Z,z,0.8023992
diamond.png,disgusting self,1,M,m,0.9198988
circle.png,desirable self,1,M,m,0.7691142
diamond.png,desirable self,0,Z,m,1.0141335
circle.png,desirable self,1,M,z,0.7958238
diamond.png,disgusting self,1,M,m,0.650678
diamond.png,desirable self,0,Z,None,
circle.png,disgusting self,0,Z,None,
circle.png,disgusting self,0,Z,z,0.7521949
diamond.png,desirable self,0,Z,m,0.8205623
circle.png,desirable self,1,M,m,0.690296
diamond.png,disgusting self,1,M,m,0.8686909
circle.png,disgusting self,0,Z,z,0.7349757
circle.png,desirable self,1,M,m,0.7203934
diamond.png,desirable self,0,Z,z,0.7936105
diamond.png,disgusting self,1,M,z,0.7641039
circle.png,desirable self,1,M,m,0.5096969
diamond.png,desirable self,0,Z,m,0.5196716
diamond.png,disgusting self,1,M,z,0.7135116
circle.png,disgusting self,0,Z,z,0.6346141
circle.png,disgusting self,0,Z,z,0.888307
diamond.png,desirable self,0,Z,m,0.7953438
diamond.png,disgusting self,1,M,m,0.6223326
circle.png,desirable self,1,M,m,0.5475999
circle.png,desirable self,1,M,m,0.6926653
diamond.png,desirable self,0,Z,z,0.3876548
diamond.png,disgusting self,1,M,m,0.7344641
circle.png,disgusting self,0,Z,z,0.7594345
diamond.png,desirable self,0,Z,m,0.8475959
circle.png,desirable self,1,M,m,0.5322886
circle.png,disgusting self,0,Z,z,0.7330867
diamond.png,disgusting self,1,M,z,0.7956442
circle.png,disgusting self,0,Z,z,0.7051103
circle.png,desirable self,1,M,m,0.6992001
diamond.png,desirable self,0,Z,z,0.790283
diamond.png,disgusting self,1,M,m,0.7350984
diamond.png,disgusting self,1,M,z,0.55165
circle.png,disgusting self,0,Z,z,0.7185455
diamond.png,desirable self,0,Z,m,0.6681298
circle.png,desirable self,1,M,m,0.6844307
diamond.png,disgusting self,1,M,z,0.6106953
circle.png,desirable self,1,M,m,0.4213223
circle.png,disgusting self,0,Z,z,0.6356389
diamond.png,desirable self,0,Z,None,
diamond.png,desirable self,0,Z,z,0.7349088
circle.png,disgusting self,0,Z,z,0.8194488
diamond.png,disgusting self,1,M,z,0.6570036
circle.png,desirable self,1,M,m,0.4452066
diamond.png,disgusting self,1,M,z,0.4662218
diamond.png,desirable self,0,Z,m,0.7412889
circle.png,desirable self,1,M,m,0.6479946
circle.png,disgusting self,0,Z,z,0.7239561
diamond.png,disgusting self,1,M,m,0.7420911
diamond.png,desirable self,0,Z,m,0.5427491
circle.png,disgusting self,0,Z,m,0.4163439
circle.png,desirable self,1,M,m,0.3460077
diamond.png,desirable self,0,Z,z,0.8020118
diamond.png,disgusting self,1,M,m,0.8217794
circle.png,desirable self,1,M,m,0.7187259
circle.png,disgusting self,0,Z,z,0.8640758
circle.png,disgusting self,0,Z,m,0.7851627
diamond.png,desirable self,0,Z,m,0.6861302
diamond.png,disgusting self,1,M,m,0.8211532
circle.png,desirable self,1,M,m,0.7352702
diamond.png,desirable self,0,Z,z,0.7966503
circle.png,desirable self,1,M,z,0.6664672
diamond.png,disgusting self,1,M,m,0.6588207
circle.png,disgusting self,0,Z,z,0.6677772
circle.png,disgusting self,0,Z,z,0.7746029
diamond.png,disgusting self,1,M,m,0.7991216
circle.png,desirable self,1,M,m,0.5939218
diamond.png,desirable self,0,Z,m,0.9484696
diamond.png,disgusting self,1,M,z,0.8332618
circle.png,disgusting self,0,Z,z,0.6588435
circle.png,desirable self,1,M,m,0.4466017
diamond.png,desirable self,0,Z,z,0.8023958
diamond.png,disgusting self,1,M,m,0.7575672
circle.png,disgusting self,0,Z,z,0.5659126
diamond.png,desirable self,0,Z,m,0.3412191
circle.png,desirable self,1,M,m,0.318472
diamond.png,disgusting self,1,M,z,0.400708
diamond.png,desirable self,0,Z,None,
circle.png,disgusting self,0,Z,m,0.5464098
circle.png,desirable self,1,M,m,0.6355723
diamond.png,disgusting self,1,M,z,0.3707454
circle.png,disgusting self,0,Z,m,0.4916542
diamond.png,desirable self,0,Z,z,0.7744586
circle.png,desirable self,1,M,m,0.5859667
diamond.png,desirable self,0,Z,z,0.7198232
diamond.png,disgusting self,1,M,m,0.7264793
circle.png,disgusting self,0,Z,z,0.7396974
circle.png,desirable self,1,M,m,0.6526843
diamond.png,disgusting self,1,M,m,0.7285483
circle.png,desirable self,1,M,m,0.5974179
circle.png,disgusting self,0,Z,z,0.6057966
diamond.png,desirable self,0,Z,z,0.7159645
circle.png,disgusting self,0,Z,z,0.7941455
diamond.png,disgusting self,1,M,m,0.8725494
diamond.png,desirable self,0,Z,z,0.8481177
circle.png,desirable self,1,M,m,0.5522997
circle.png,disgusting self,0,Z,z,0.6531551
diamond.png,disgusting self,1,M,m,0.8815764
diamond.png,desirable self,0,Z,z,0.5717301
circle.png,desirable self,1,M,m,0.577129
