stimulus,label,is_match,shouldpress,stimulus_2,label_2,is_match_2,shouldpress_2,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,text_15.stopped,p_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,trial.started,fixation.started,fixation_3.started,text.started,key_resp.started,image.started,fixation.stopped,fixation_3.stopped,text.stopped,image.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,text_2.started,text_2.stopped,feedback.stopped,key_resp.stopped,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_other_instructions_2.started,text_10.started,key_resp_7.started,self_other_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_other_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_other_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_other_starting_3.started,text_12.started,key_resp_9.started,self_other_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,key_resp_6_p.stopped,practice2.stopped,key_resp_6_p.keys,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.rt,key_resp_6_p.duration,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
square.png,stranger,1,M,,,,,1,2,6,0,,,,,,,,,,,,,96.14155580000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.12536089999776,96.14155580000079,96.62519690000045,96.62519690000045,96.62519690000045,96.62519690000045,96.64204419999442,96.92522179998923,96.92522179998923,96.92522179998923,,97.27619639999466,m,97.27645389999088,97.29220630000054,98.29253769999195,98.27648649999173,0.6431525999942096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,you,0,Z,,,,,1,3,7,2,,,,,,,,,,,,,98.29253769999195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.27672349999193,98.29253769999195,98.77639439998893,98.77639439998893,98.77639439998893,98.77639439998893,98.79303220000293,99.0761807999952,99.0761807999952,99.0761807999952,,99.37726110000222,z,99.37751449999632,99.39312899998913,100.39387249998981,100.37727339999401,0.5989939999999478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,stranger,1,M,,,,,2,0,8,0,,,,,,,,,,,,,100.39387249998981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.37750669999514,100.39387249998981,100.87742279999657,100.87742279999657,100.87742279999657,100.87742279999657,100.89405969998916,101.1773899999971,101.1773899999971,101.1773899999971,,101.76179899999988,m,101.76204560000042,101.77775690000271,102.77804730000207,102.76195179999922,0.8754397000011522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
triangle.png,you,1,M,,,,,2,1,9,1,,,,,,,,,,,,,102.77804730000207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76218849999714,102.77804730000207,103.2619823999994,103.2619823999994,103.2619823999994,103.2619823999994,103.27848799999629,103.56179169999086,103.56179169999086,103.56179169999086,,103.61251949999132,z,103.61277279999922,103.62879709999834,104.62924319999001,104.61295789999713,0.3464386999985436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
triangle.png,stranger,0,Z,,,,,2,2,10,3,,,,,,,,,,,,,104.62924319999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.61320229999546,104.62924319999001,105.11297839999315,105.11297839999315,105.11297839999315,105.11297839999315,105.1295844999986,105.4129025000002,105.4129025000002,105.4129025000002,,105.43045889999485,m,105.43071319999581,105.44633809999505,106.44697219999216,106.43055289999756,0.3117960000090534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,you,0,Z,,,,,2,3,11,2,,,,,,,,,,,,,106.44697219999216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.43078959999548,106.44697219999216,106.93054139999731,106.93054139999731,106.93054139999731,106.93054139999731,106.94705760000215,107.23051500000292,107.23051500000292,107.23051500000292,,107.51457790000131,m,107.51483459999145,107.53067490000103,108.53099239998846,108.51488719999907,0.5728216999996221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
triangle.png,stranger,0,Z,,,,,3,0,12,3,,,,,,,,,,,,,108.53099239998846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.51512399999774,108.53099239998846,109.01479380000092,109.01479380000092,109.01479380000092,109.01479380000092,109.03162439999869,109.31472939999367,109.31472939999367,109.31472939999367,,109.81593739999516,m,109.81618959999469,109.83172760000161,110.83229989999381,110.8160893000022,0.7936608000018168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,you,0,Z,,,,,3,1,13,2,,,,,,,,,,,,,110.83229989999381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.81632469999022,110.83229989999381,111.31619259998843,111.31619259998843,111.31619259998843,111.31619259998843,111.33273789999657,111.61621860000014,111.61621860000014,111.61621860000014,,112.15040699999372,m,112.15065549999417,112.16633249999722,113.16675769998983,113.15062570000009,0.8327486999914981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
triangle.png,you,1,M,,,,,3,2,14,1,,,,,,,,,,,,,113.16675769998983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.15086029999657,113.16675769998983,113.6505213999917,113.6505213999917,113.6505213999917,113.6505213999917,113.66736249999667,113.95061610000266,113.95061610000266,113.95061610000266,,113.93492899999546,z,113.9351913999999,113.95061610000266,114.95121980000113,114.93480079999426,0.28219779999926686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,stranger,1,M,,,,,3,3,15,0,,,,,,,,,,,,,114.95121980000113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.93503389999387,114.95121980000113,115.43495389999589,115.43495389999589,115.43495389999589,115.43495389999589,115.45135009998921,,,,,115.61885230000189,m,115.61910429999989,115.63488319999306,116.63533109999844,116.61919409999973,0.17731899999489542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
square.png,you,0,Z,,,,,4,0,16,2,,,,,,,,,,,,,116.63533109999844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6194281999924,116.63533109999844,117.11878969999088,117.11878969999088,117.11878969999088,117.11878969999088,117.13543979999667,117.41917100000137,117.41917100000137,117.41917100000137,,118.0533291999891,z,118.05358249999699,118.06928239999979,119.06999350000115,119.05372159999388,0.9212723000091501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
triangle.png,stranger,0,Z,,,,,4,1,17,3,,,,,,,,,,,,,119.06999350000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.05395819999103,119.06999350000115,119.55375959999219,119.55375959999219,119.55375959999219,119.55375959999219,119.57024790000287,119.85359649999009,119.85359649999009,119.85359649999009,,120.35464279999724,m,120.35490829999617,120.37041289999615,121.37096929999825,121.35481239999353,0.7943267000082415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_14,001,2024-11-30_12h34.22.487,untitled,2024.1.5,None,2024-11-30 12h34.38.875069 +0530,
